Beras Bengawan (Kg),Beras Mentik (Kg),Beras Ir 64 (Kg),Gula Pasir Dalam Negri (Kg),Bimoli Botol / Kemasan (Sps) (620 Ml),Bimoli Botol/Kemasan (Sps) (2 Liter),Tanpa Merk / Minyak Curah (Kg),Daging Sapi Murni (Kg),Daging Ayam Broiler (Kg),Daging Ayam Kampung (Kg),Telur Ayam Ras / Petelur (Kg),Telur Ayam Kampung (Kg),Susu Kental Manis Merk Bendera (397 Gr/Kl),Susu Kental Manis Merk Indomilk (390 Gr/Kl),Susu Bubuk Merk Bendera (Instant) (400 Gr/Dos),Susu Bubuk Merk Indomilk (Instant) (400 Gr/Dos),Jagung Pipilan Kering (Kg),Garam Bata (Buah),Garam Halus (Kg),Tepung Segitiga Biru (Kw Medium) (Kg),Kacang Kedelai Eks Impor (Kg),Kacang Kedelai Lokal (Kg),Indomie Rasa Kari Ayam (Bungkus),Cabe Keriting (Kg),Cabe Biasa (Kg),Cabe Rawit (Kg),Bawang Merah (Kg),Bawang Putih (Kg),Ikan Asin Teri (Kg),Kacang Hijau (Kg),Kacang Tanah (Kg),Ketela Pohon (Kg),Kol/Kubis (Kg),Kentang (Kg),Tomat (Kg),Wortel (Kg),Buncis (Kg),Semen Gresik (40 Kg),Semen Tiga Roda (40 Kg),Semen Holcim (40 Kg),Semen Padang (40 Kg),Semen Tonasa (40 Kg),Semen Bosowa (40 Kg),Ikan Bandeng (Kg),Ikan Kembung (Kg),Ikan Tuna (Kg),Ikan Tongkol (Kg),Ikan Cakalang (Kg),Kayu Balok Meranti (4 X 10) (Btg),Papan Meranti (4M X 3Cm X 20Mm) (Lembar),Triplek (6Mm) (Lembar),Besi Beton 6 Mm (12/9M) (Btg),Besi Beton 8 Mm (12/9M) (Btg),Besi Beton 10 Mm (12/9M) (Btg),Besi Beton 12 Mm (12/9M) (Btg),Paku Ukuran 10Cm (Kg),Paku Ukuran 2 Cm (Kg),Paku Ukuran 3Cm (Kg),Paku Ukuran 4Cm (Kg),Paku Ukuran 5Cm (Kg),Paku Ukuran 7Cm (Kg),Gas Elpigi 3 Kg (Kg),Pupuk Kcl Non Subsidi (Kg),Pupuk Npk Non Subsidi (Kg),Pupuk Sp 35 Non Subsidi (Kg),Pupuk Urea Non Subsidi (Kg),Pupuk Za Non Subsidi (Kg)
10498,10336,8892,12629,11848,25671,11787,105404,29175,55513,17868,36668,9996,9730,37141,35055,5543,689,3839,7932,8655,8254,2214,48533,36383,101047,28493,33592,59768,17167,22511,3308,7747,13076,4632,9995,10180,50383,48225,47356,47370,46889,48031,25940,26565,31920,25523,27213,91288,97216,74714,21415,32953,50979,69075,13042,14433,13913,13531,13255,13014,17500,5531,6842,3669,3493,3154
10416,10251,8911,12663,11865,25633,11804,105405,28828,54996,17883,35705,9971,9744,37417,35274,5583,671,3971,7950,8645,8296,2225,48093,37473,105858,28491,33509,59833,17250,22411,3384,7756,12878,4405,10232,10211,50407,48396,47536,47370,46692,48277,27982,26821,32081,25627,27005,91859,98049,75262,21449,32822,50660,69182,13123,14457,14005,13640,13337,13149,17509,5577,6862,3662,3480,3138
10417,10277,8905,12659,11828,25583,11779,105516,28969,55482,17798,36089,9956,9741,37355,35253,5522,669,3988,7942,8608,8274,2216,47860,38114,106732,28469,33743,60230,17265,22351,3345,7720,12972,4562,10254,10276,50495,48387,47484,47318,46654,48287,27876,26761,32084,25542,26628,91164,99056,75067,21406,32920,50776,68948,13108,14484,14025,13626,13312,13118,17523,5654,6897,3678,3530,3192
10426,10260,8893,12624,11794,25588,11891,105609,28885,55429,17789,36112,9974,9720,37051,35196,5503,666,3991,7924,8636,8323,2220,48756,38327,108002,28449,33670,59968,17301,22334,3337,7511,12830,4673,10197,10123,50495,48381,47462,47227,46808,48277,28024,26859,32034,25584,26753,91486,97399,75115,21401,33061,50809,68976,13269,14607,14025,13645,13355,13123,17550,5648,6908,3671,3539,3205
10400,10252,8878,12635,11857,25670,11841,105538,28734,55605,17865,36495,9979,9737,37960,35820,5560,643,4072,7907,8616,8400,2219,47921,37771,118393,29107,33832,60013,17309,22352,3349,7522,12874,4713,10140,10130,50315,48152,47330,47130,46741,47792,25912,27000,32317,25702,27046,89326,97725,75085,21439,32986,50201,69047,13005,14433,13955,13591,13121,12991,17545,5648,6837,3627,3513,3166
10417,10281,8863,12628,11888,25778,11850,105400,28640,55140,17852,37063,10018,9752,37909,35771,5596,657,4045,7980,8617,8443,2217,48608,37694,124217,29218,34098,59473,17496,22529,3400,7464,12951,4746,10211,10252,50389,48208,47337,47261,46815,47875,26005,27250,32253,25774,27293,90662,97618,75142,21370,33043,50680,68655,13005,14350,13948,13565,13215,12981,17574,5611,7027,3723,3598,3246
10425,10275,8914,12621,11885,25660,11832,105335,28611,55291,17763,36799,9979,9732,37697,35539,5494,660,4031,7918,8613,8273,2227,49722,38523,123157,29710,34233,59912,17332,22424,3383,7389,12941,4766,10394,10192,50451,48310,47479,47479,47000,47939,25788,27221,32322,25634,27045,91279,97597,75079,21422,33014,50649,69019,13123,14521,14065,13712,13360,13164,17553,5633,6796,3642,3527,3139
10408,10270,8926,12623,11877,25661,11849,105564,28370,55368,17781,36542,10000,9736,37697,35527,5519,727,3923,7918,8652,8248,2221,49822,38703,117530,29995,34226,60181,17317,22410,3687,7201,12958,4728,10352,10045,50424,48330,47761,47848,46519,47531,25968,27207,32451,25850,27122,91122,100096,75276,21444,32931,50539,68991,13133,14484,14038,13696,13391,13119,17509,5638,6872,3628,3497,3140
10402,10275,8895,12613,11891,25717,11820,105542,28353,55330,17748,36358,9996,9737,37817,35790,5537,665,3978,7911,8643,8284,2217,49322,38009,120147,30103,34301,60026,17362,22420,3672,7222,12753,4829,10249,10012,50321,48230,47700,47435,46222,47552,26009,27229,32615,26195,27321,92145,99570,75193,21402,32977,50600,68953,13115,14448,13985,13636,13359,13110,17504,5635,6864,3662,3524,3152
10414,10241,8898,12630,11883,25639,11836,105788,28110,55320,17750,36797,10022,9747,37891,35799,5603,683,3911,7905,8640,8337,2225,49359,37860,120183,30614,34284,60044,17311,22436,3690,7070,12816,4706,10092,10127,50261,48152,47761,47271,46964,47210,26014,27303,32789,26417,27402,90753,100286,74863,21434,33175,50833,69433,13083,14447,13999,13628,13330,13084,17459,5629,6853,3638,3508,3165
10424,10260,8896,12618,11882,25720,11850,105727,27972,55283,17685,36829,10018,9756,37939,35802,5603,670,4024,7898,8660,8313,2225,48735,36890,118950,30810,34245,60353,17336,22385,3659,6941,12870,4635,9991,9974,50230,48188,47858,47271,46964,47582,26027,27347,32777,26311,27347,90942,100069,75005,21481,32995,50785,69107,13073,14457,13980,13612,13287,13073,17496,5633,6860,3642,3502,3149
10468,10334,8891,12616,11770,25805,11856,105965,28083,54957,17724,37162,10057,9745,37618,35364,5590,680,3950,7965,8690,8377,2220,46691,35718,121283,31019,34147,59871,17352,22607,3762,7088,12942,4816,10052,10052,50292,48455,48035,47450,47167,48224,26005,27129,33098,26278,27713,92063,99567,75611,21385,32911,50544,68584,12985,14284,13906,13564,13261,13021,17574,5694,6968,3739,3578,3226
10425,10301,8864,12613,11774,25862,11905,105525,27859,55041,17690,37200,10034,9764,37556,35398,5611,672,4065,7955,8608,8398,2229,45970,34986,121203,31223,34405,60013,17536,22649,3701,7073,12959,4671,9933,9946,50204,48208,47828,47000,46778,47489,25914,27516,32868,26382,27624,91428,100859,75279,21417,32995,50643,68750,13014,14383,13927,13550,13277,13034,17528,5556,7091,3727,3594,3236
10416,10265,8909,12613,11849,25848,11977,105799,27817,55030,17713,36546,10024,9757,37590,35444,5584,681,3880,7890,8635,8345,2234,43996,31123,118990,31643,34423,60261,17313,22602,3660,6804,12839,4678,9984,9645,50152,48185,47755,47271,46964,47520,25885,27723,32805,26577,27474,90283,99979,74948,21629,33069,50817,69327,13037,14439,13949,13587,13267,13055,17487,5637,6857,3626,3501,3163
10414,10278,8895,12620,11808,25864,12081,105503,27776,55278,17629,36427,10022,9754,37605,35421,5597,668,3943,7887,8712,8390,2231,42789,29470,121269,32349,34282,60612,17414,22562,3646,6795,12795,4622,10050,9545,50296,48267,47868,47354,46964,47520,25870,27768,32624,26655,28126,90981,100250,74977,21468,33060,50823,69306,13039,14518,13987,13594,13269,13032,17504,5633,6847,3621,3502,3151
10417,10288,8869,12632,11779,25954,12155,105400,27623,55135,17598,37130,10059,9765,37615,35397,5661,720,4060,7962,8730,8478,2229,42422,29924,124051,33121,34421,59759,17464,22676,3699,6886,12854,4692,9953,9381,50222,48186,47809,47000,46778,47477,26145,27685,32703,26533,27452,91250,100254,75311,21433,33024,55425,68801,13026,14371,13914,13541,13214,13010,17551,5629,7054,3701,3586,3254
10429,10289,8876,12617,11790,25915,12231,105454,27774,55288,17569,36621,10023,9741,37570,35462,5646,670,4020,7890,8705,8383,2220,40866,29821,121002,34076,34621,60468,17362,22582,3657,6732,12821,4687,9951,8979,50278,48302,47867,47048,46800,47500,26124,27505,33080,26608,27392,91425,99074,75039,21424,32610,50676,68827,13157,14438,13929,13545,13220,12964,17528,5682,6896,3671,3557,3231
10439,10295,8863,12614,11747,25996,12198,105490,27888,54856,17551,37184,10041,9755,37258,35421,5670,684,3940,7944,8749,8479,2230,41434,29758,123106,34562,34482,59482,17460,22733,3708,6754,12870,4781,9771,8959,50275,48247,47853,47271,46964,47567,26130,27521,32902,26565,27500,90968,101681,75267,21476,32876,50783,68990,12988,14475,13967,13583,13208,12981,17560,5632,7132,3698,3579,3249
10443,10305,8872,12625,11819,26070,12212,105585,27659,55018,17557,37218,10042,9755,37559,35478,5662,691,4101,7964,8731,8301,2231,41630,29150,126841,35443,34373,59791,17509,22784,3707,6761,12804,4770,9745,8988,50336,48263,47855,47205,46885,47407,26101,27505,33189,28505,27576,91858,99493,75290,21520,32723,50723,68805,12995,14340,13883,13497,13214,12949,17542,5671,7097,3737,3606,3247
10451,10291,8850,12636,11777,25983,12201,105449,27604,54836,17509,37089,10042,9757,37890,35744,5664,681,4075,7955,8727,8317,2229,41518,29532,125475,35520,34374,60009,17505,22732,3723,6905,12754,4786,9715,8934,50215,48168,47785,46955,46731,47291,26060,27554,33111,26567,27532,91853,100071,75342,21461,32699,50609,68284,12969,14346,13904,13503,13212,12971,17537,5657,7096,3731,3599,3236
10411,10255,8873,12597,11845,25953,12263,105399,27638,55135,17418,37052,10009,9718,37894,35755,5626,679,4034,7892,8687,8230,2221,41033,28784,127385,35899,34444,60310,17315,22660,3610,6711,12639,4821,9834,8769,50230,48183,47811,47271,46964,47520,26032,27411,32902,26535,27273,91104,100261,75028,21495,32785,50783,69033,13055,14479,14049,13677,13337,13041,17487,5656,6864,3642,3486,3174
10431,10260,8863,12607,11845,25931,12244,104555,27595,55274,17453,37137,10013,9736,37934,35780,5621,669,3966,7890,8685,8273,2220,39924,28276,126097,35961,34142,60060,17319,22657,3622,6552,12486,4694,9640,8635,50195,48173,47779,47271,46964,47520,25955,27347,32894,26486,27435,91007,99697,75241,21495,32748,50857,69061,13046,14470,14000,13623,13328,13014,17460,5863,6854,3582,3469,3152
10400,10223,8843,12592,11855,25960,12239,105477,27509,55052,17453,36858,9996,9727,37840,35731,5608,663,3981,7864,8692,8280,2227,39569,28142,123566,35698,34013,60379,17384,22640,3613,6547,12554,4738,9594,8523,50170,48145,47761,46957,46778,47458,26156,27059,33038,26499,27148,91428,99415,75042,21435,32771,50544,69066,12982,14488,13983,13626,13275,13005,17482,5656,6887,3637,3491,3174
10398,10218,9549,12584,11862,25926,12326,105603,27478,55044,17430,36614,10008,9722,37893,35799,5593,685,3959,7846,8698,8243,2236,39537,28345,124030,35991,33890,60043,17341,22632,3633,6442,12494,4710,9613,8586,50232,48265,47849,47370,47074,47604,26101,26921,32978,26435,27103,91638,99718,75219,21443,32764,54936,68871,13032,14401,13935,13595,13304,13032,17496,5611,6844,3593,3478,3165
10401,10210,8811,12592,11894,26046,12143,105512,27621,54741,17402,37196,10042,9745,37909,35790,5700,689,4074,7909,8736,8285,2228,39442,28495,127713,35805,33886,59509,17375,22770,3677,6472,12640,4658,9796,8674,50257,48260,47828,47229,46964,47544,25981,27271,32913,26179,27258,91822,100768,75250,21446,32762,50527,68966,12957,14330,13874,13489,13186,12981,17541,5588,7023,3700,3574,3271
10424,10214,8817,12585,11879,25898,12242,105740,27446,54798,17302,36745,10000,9735,37874,35828,5646,680,4052,7851,8696,8170,2211,40034,28700,125829,35649,33454,59973,17406,22499,3646,6627,12596,4707,9664,8666,50322,48379,47977,47000,46885,47886,26069,27326,33230,26193,26885,89838,101638,75379,21356,32774,50772,68966,13017,14552,14038,13660,13348,13048,17509,6082,7007,3622,3506,3176
10406,10219,8787,12583,13042,26060,12237,105574,27538,54627,17322,37010,10038,9773,37929,35652,5687,681,4074,7890,8698,8299,2235,40087,28638,129021,35854,33703,59321,17335,22678,3658,6725,12663,4671,9744,8746,50213,48167,47731,46957,46778,47489,26245,27387,33033,26292,27154,89283,99833,75320,21404,32779,50704,68767,12940,14332,13881,13455,13167,12957,17519,5607,7106,3678,3578,3240
10415,10202,8816,12575,11836,25842,12270,105826,27191,54789,17241,36742,9994,9750,37890,35749,5673,694,4046,7832,8701,8261,2234,39963,28374,125117,35836,33621,59491,17291,22566,3617,6541,12519,4640,9732,8592,50204,48205,47766,47229,47036,47796,26175,27516,32946,26337,26954,90058,101356,75373,21407,32801,50743,68916,13020,14476,13982,13621,13305,13014,17473,5633,6901,3585,3491,3162
